	A549Swt0h1_h0	A549Swt0h2_h0	A549S3wt3hHGF1_h3	A549S3wt3hHGF2_h3	A549S6wt6hHGF1_h6	A549S6wt6hHGF2_h6	A549S12wt12hHGF1_h12	A549S12wt12hHGF2_h12
AC007224.2:ENSG00000279357	0	0	0	0	0	0	0	0
AP002833.3:ENSG00000279358	0	1	0	0	0	0	0	0
AL359195.2:ENSG00000279359	0	0	0	0	0	0	0	0
AC007546.2:ENSG00000279360	0	0	0	0	0	0	0	0
AC079331.1:ENSG00000279361	0	0	0	0	1	0	0	0
AC114546.3:ENSG00000279364	0	1	0	0	1	1	1	0
AP000695.3:ENSG00000279365	0	1	4	1	4	5	8	4
AC120349.2:ENSG00000279366	0	0	0	0	1	0	0	0
AC102797.2:ENSG00000279367	0	0	0	0	0	0	0	0
AL031123.3:ENSG00000279368	0	0	0	0	0	0	0	0
AC046185.3:ENSG00000279369	0	0	0	0	2	0	1	0
AC004777.1:ENSG00000279370	0	0	0	0	0	0	0	0
AC137723.1:ENSG00000279372	1	0	0	0	1	1	0	0
AC027228.3:ENSG00000279373	1	1	0	0	0	0	0	1
AC092435.4:ENSG00000279376	0	0	0	0	0	0	0	0
AC003973.2:ENSG00000279377	0	0	0	1	0	1	0	0
AC009159.4:ENSG00000279378	0	0	0	0	0	0	0	0
AC024595.1:ENSG00000279379	0	0	0	0	0	0	0	0
CR392039.2:ENSG00000279381	0	0	0	0	0	0	0	0
AC018665.1:ENSG00000279382	0	0	0	0	0	1	0	0
AC080188.2:ENSG00000279384	0	3	2	2	3	5	5	2
AC021106.3:ENSG00000279386	0	0	0	0	0	0	0	0
AC011474.4:ENSG00000279387	0	0	0	0	0	0	0	0
AC073578.3:ENSG00000279388	0	0	0	0	0	0	0	0
AF127577.6:ENSG00000279390	0	0	0	0	0	0	0	0
AC116456.2:ENSG00000279391	0	0	0	0	0	0	0	0
AL158801.6:ENSG00000279392	5	8	5	3	14	8	8	11
AL139005.1:ENSG00000279393	0	0	0	0	0	0	0	0
AC015871.4:ENSG00000279394	0	0	1	0	0	0	0	0
OR5L1:ENSG00000279395	0	0	0	0	0	0	0	0
AC018445.2:ENSG00000279397	0	0	0	0	0	0	0	0
AL078596.1:ENSG00000279398	0	0	0	0	0	0	0	0
AL356095.2:ENSG00000279399	0	0	0	0	0	0	0	0
AC008957.3:ENSG00000279400	0	0	0	0	0	0	0	0
AL133383.4:ENSG00000279401	0	0	0	0	0	0	0	0
AL078595.3:ENSG00000279403	0	0	0	0	0	0	0	0
AC008739.5:ENSG00000279404	0	0	0	0	0	0	0	0
AC004696.2:ENSG00000279405	0	0	0	0	0	0	0	0
AL359183.1:ENSG00000279406	3	2	2	4	3	4	4	7
AC007191.1:ENSG00000279407	51	49	34	23	48	47	62	37
AC135068.3:ENSG00000279408	0	0	0	0	0	0	0	0
AC020658.6:ENSG00000279409	0	0	0	0	0	1	0	0
AC099494.1:ENSG00000279410	0	0	0	0	0	0	0	0
AC090643.2:ENSG00000279411	0	0	0	0	0	0	0	0
AC020763.3:ENSG00000279412	0	0	0	0	0	0	0	0
AC112497.2:ENSG00000279413	0	0	0	0	1	0	0	1
CR392039.3:ENSG00000279414	0	0	0	0	0	0	0	1
AC099494.2:ENSG00000279415	1	0	0	0	0	1	2	0
AC099689.1:ENSG00000279416	0	1	1	1	0	2	2	0
AC019322.6:ENSG00000279417	2	0	1	0	0	0	0	0
AC004925.1:ENSG00000279419	0	0	0	0	0	0	0	0
AC138627.2:ENSG00000279420	0	0	0	0	0	0	0	0
AC067863.2:ENSG00000279421	0	0	0	0	0	0	0	0
AC231657.1:ENSG00000279422	0	0	0	0	0	0	0	0
AL445363.3:ENSG00000279423	59	69	64	24	59	26	46	45
AC092279.2:ENSG00000279425	11	19	12	5	7	14	12	14
AC243312.1:ENSG00000279426	0	0	0	0	0	0	0	0
AC007490.1:ENSG00000279427	0	0	1	0	1	0	0	1
AC087164.2:ENSG00000279428	0	0	0	0	0	1	0	0
AC004009.2:ENSG00000279429	0	0	0	0	0	0	0	0
AL590560.4:ENSG00000279430	0	0	0	0	0	0	0	0
AC011840.5:ENSG00000279431	0	0	0	0	0	0	0	0
AC015799.1:ENSG00000279432	4	4	3	8	4	9	5	2
AC018529.3:ENSG00000279433	1	1	3	1	1	1	0	1
AL049776.1:ENSG00000279434	3	1	5	3	5	9	5	2
Z82170.1:ENSG00000279437	0	0	0	0	0	0	0	0
AP001002.2:ENSG00000279438	0	0	0	0	0	0	0	0
AC105114.1:ENSG00000279439	0	0	0	0	0	0	0	0
Z92544.2:ENSG00000279441	0	0	0	1	2	1	2	0
AL513497.1:ENSG00000279443	21	19	22	16	28	19	41	23
AC135584.1:ENSG00000279444	0	0	0	0	0	0	0	0
AC135068.4:ENSG00000279445	0	0	0	0	0	0	0	0
AC005915.1:ENSG00000279446	0	0	0	0	0	0	0	0
AL118508.3:ENSG00000279447	0	0	0	0	0	0	0	0
AC112200.1:ENSG00000279450	0	0	0	0	0	0	0	0
AC006277.1:ENSG00000279452	0	0	0	0	0	0	0	0
Z99129.4:ENSG00000279453	20	17	15	12	19	17	24	31
AP003499.6:ENSG00000279454	0	0	0	0	0	0	0	0
AC117500.5:ENSG00000279455	0	0	0	0	0	0	0	0
AL353763.1:ENSG00000279456	4	0	8	1	4	2	5	3
WASH9P:ENSG00000279457	142	164	202	171	261	257	320	230
AP001271.2:ENSG00000279459	0	0	0	0	0	0	0	0
AC112243.1:ENSG00000279460	0	0	0	0	0	0	0	0
AC005480.2:ENSG00000279461	0	0	0	0	0	0	0	0
AC093028.1:ENSG00000279462	0	0	0	0	0	0	0	0
AC096720.2:ENSG00000279464	0	2	1	1	3	2	3	1
AC090950.2:ENSG00000279465	0	0	0	0	0	0	0	0
AC073911.1:ENSG00000279466	0	0	0	0	0	0	0	0
AC109454.4:ENSG00000279469	0	0	0	0	0	0	0	0
AC091903.1:ENSG00000279470	0	0	0	0	0	0	0	0
AC125437.2:ENSG00000279474	0	0	0	0	0	0	0	0
AC087894.2:ENSG00000279475	0	0	0	0	0	0	0	0
AC092139.3:ENSG00000279476	0	0	0	1	0	2	2	0
CU634019.5:ENSG00000279477	0	0	0	0	0	0	0	0
AC127071.2:ENSG00000279478	0	0	0	0	0	0	0	0
AP005205.3:ENSG00000279479	0	0	0	0	0	0	0	0
AC138466.4:ENSG00000279480	0	0	0	0	0	1	1	0
AC104791.2:ENSG00000279481	1	0	0	1	0	1	2	1
AC007683.2:ENSG00000279482	0	0	0	0	0	0	0	0
AC090498.1:ENSG00000279483	3164	3360	3593	2884	3121	2968	3356	2828
KLHL30-AS1:ENSG00000279484	2	0	3	3	4	2	10	3
AC016734.2:ENSG00000279485	0	0	0	0	0	0	0	0
OR2AG1:ENSG00000279486	0	0	0	0	0	0	0	0
AC004623.1:ENSG00000279488	0	0	0	0	0	0	0	0
AL355377.2:ENSG00000279489	1	4	3	6	3	6	5	3
AC109446.4:ENSG00000279490	0	0	0	0	0	0	0	0
AP003733.3:ENSG00000279491	1	1	0	1	1	2	1	2
FP565260.4:ENSG00000279493	0	0	0	1	0	0	0	0
AL928654.4:ENSG00000279495	7	7	11	6	13	7	12	6
AP003784.1:ENSG00000279497	0	0	0	0	0	0	0	0
AL356121.2:ENSG00000279498	0	0	0	0	0	0	0	0
AL157770.1:ENSG00000279499	0	0	0	0	0	0	0	0
AC108704.2:ENSG00000279500	9	11	6	3	7	7	23	10
AC016542.2:ENSG00000279502	0	0	0	0	0	0	0	0
AL353649.1:ENSG00000279503	0	0	0	0	0	0	0	0
AD001527.2:ENSG00000279504	0	1	1	2	1	1	3	0
AC022513.1:ENSG00000279505	0	0	0	0	0	0	0	0
AC112484.4:ENSG00000279507	0	0	0	0	0	0	0	0
AC007494.3:ENSG00000279509	0	0	0	0	0	0	0	0
AL356274.2:ENSG00000279511	0	0	0	0	0	1	2	1
AC011755.1:ENSG00000279512	0	0	0	0	0	0	0	0
AL157902.2:ENSG00000279513	0	1	1	0	0	0	1	1
OR4C16:ENSG00000279514	0	0	0	0	0	0	0	0
AC083843.4:ENSG00000279518	10	24	42	32	40	46	42	30
AC007382.1:ENSG00000279519	25	23	21	24	29	26	55	40
AC093525.8:ENSG00000279520	8	20	16	16	16	22	30	16
AL359396.2:ENSG00000279521	0	0	0	0	0	0	0	0
AC040168.2:ENSG00000279523	0	0	0	0	0	0	0	0
AC002451.2:ENSG00000279525	0	0	1	0	0	0	0	0
AC011239.2:ENSG00000279526	0	0	0	0	1	0	2	1
AC073592.7:ENSG00000279527	0	0	0	0	0	0	0	0
AC115618.3:ENSG00000279528	22	44	30	39	43	31	43	25
AC092881.1:ENSG00000279530	0	0	0	0	0	0	0	0
AC022140.2:ENSG00000279531	0	0	0	0	0	0	0	0
AC002094.5:ENSG00000279532	0	0	0	0	0	0	0	0
AP001340.1:ENSG00000279534	0	0	0	0	0	0	0	0
AC093458.2:ENSG00000279536	0	0	0	0	0	0	0	0
AC020658.7:ENSG00000279537	0	0	0	0	0	0	0	0
AC006486.2:ENSG00000279539	6	9	5	2	5	3	5	9
AC005261.5:ENSG00000279541	0	0	0	0	0	0	0	0
AC015908.5:ENSG00000279542	0	0	0	0	0	0	0	0
AC129908.1:ENSG00000279543	0	0	0	0	0	0	0	0
AL133243.4:ENSG00000279544	0	0	2	3	0	1	2	2
AP000437.1:ENSG00000279549	2	1	0	1	5	1	2	2
AL359757.1:ENSG00000279550	0	0	0	0	0	0	0	0
AC025263.3:ENSG00000279551	1	1	2	5	3	2	6	3
AC130448.2:ENSG00000279554	0	0	0	0	0	0	0	0
AC091181.1:ENSG00000279555	1	2	1	0	0	1	2	1
AC010435.1:ENSG00000279557	3	0	2	0	1	0	3	0
AC104820.1:ENSG00000279559	0	0	0	0	0	0	0	0
AL845472.2:ENSG00000279561	5	0	5	2	5	1	5	4
AC090617.8:ENSG00000279562	0	0	0	0	0	0	0	0
AL121835.2:ENSG00000279565	0	0	0	0	0	0	0	0
AC005703.5:ENSG00000279567	0	0	0	0	0	0	0	0
AC093525.9:ENSG00000279568	6	3	10	9	5	12	10	10
AC020763.4:ENSG00000279569	7	8	5	1	2	1	5	3
AC099804.1:ENSG00000279570	1	1	1	1	1	1	3	1
AC021683.4:ENSG00000279572	0	0	0	0	0	0	0	0
AC134407.2:ENSG00000279573	0	1	0	0	2	0	1	1
AL583859.2:ENSG00000279575	0	0	0	0	0	0	0	0
AC004899.2:ENSG00000279578	0	0	0	0	0	0	0	0
AC073862.2:ENSG00000279581	0	0	0	0	0	0	0	0
AC009086.2:ENSG00000279583	6	3	5	3	10	7	9	1
AC005593.1:ENSG00000279584	0	0	0	0	0	0	0	0
AL109653.2:ENSG00000279585	0	0	0	0	0	0	0	0
AP000711.1:ENSG00000279586	0	0	0	0	0	0	1	0
AC006963.2:ENSG00000279587	0	0	0	0	0	0	0	0
AC087762.2:ENSG00000279588	0	0	0	0	0	0	0	0
AC079416.3:ENSG00000279589	1	0	0	0	2	1	2	2
AC005786.4:ENSG00000279590	0	0	0	0	0	0	0	0
AC002044.2:ENSG00000279591	0	0	0	1	0	1	0	0
AC010653.2:ENSG00000279592	0	0	0	0	1	0	0	0
AL132642.2:ENSG00000279593	0	0	0	0	0	0	0	0
AL049780.3:ENSG00000279594	2	3	5	3	7	6	11	5
AC126335.2:ENSG00000279595	0	0	0	0	0	0	0	0
AC009948.4:ENSG00000279598	3	0	1	2	3	2	5	4
AC005514.1:ENSG00000279599	0	0	0	0	0	0	0	0
AC015804.1:ENSG00000279600	0	0	0	0	0	0	1	0
AC005052.1:ENSG00000279601	0	0	0	0	0	0	0	0
AC109326.1:ENSG00000279602	7	6	13	10	5	6	7	6
AP000720.2:ENSG00000279603	0	0	0	0	0	0	0	0
AC092723.2:ENSG00000279604	0	0	0	0	0	0	0	0
AC067930.5:ENSG00000279605	1	2	1	4	0	0	2	8
AC006600.2:ENSG00000279606	0	0	0	0	0	0	0	0
AL353795.3:ENSG00000279608	4	4	5	5	7	12	11	2
AL158070.2:ENSG00000279609	0	0	0	0	1	0	0	0
C20orf181:ENSG00000279610	0	0	0	0	0	0	0	0
AC012313.10:ENSG00000279611	1	2	3	5	7	8	4	4
AC124283.5:ENSG00000279613	1	3	0	0	1	2	1	1
CR381572.2:ENSG00000279615	0	0	0	0	0	0	0	0
AL096817.1:ENSG00000279616	0	0	1	0	0	0	1	0
AC005796.1:ENSG00000279617	0	0	0	0	0	0	0	0
AC020907.5:ENSG00000279619	1	1	5	0	1	0	2	4
AC099494.3:ENSG00000279620	0	0	0	0	1	0	0	0
AC020978.8:ENSG00000279621	0	0	0	0	0	0	0	0
AL591122.1:ENSG00000279625	0	0	0	0	0	0	0	0
DUX4L28:ENSG00000279626	0	0	0	0	0	0	0	0
AC131280.1:ENSG00000279628	0	0	0	0	0	0	0	0
AC048380.3:ENSG00000279629	0	0	0	0	0	0	0	0
AC190387.1:ENSG00000279630	0	0	0	0	0	0	0	0
AL158211.5:ENSG00000279631	1	0	2	5	3	2	3	1
AP003108.4:ENSG00000279632	2	5	4	5	6	6	8	6
AL137918.1:ENSG00000279633	3	4	5	3	3	1	9	3
AC091895.1:ENSG00000279635	0	0	0	0	0	0	0	0
AC018445.3:ENSG00000279637	1	0	0	0	0	0	0	0
AC008873.1:ENSG00000279638	0	0	0	0	0	0	0	0
AC135068.5:ENSG00000279639	0	0	0	0	0	0	0	0
AC138466.5:ENSG00000279640	0	0	0	0	0	0	0	0
AC120057.3:ENSG00000279641	1	0	0	2	1	1	4	2
AL023973.1:ENSG00000279642	0	0	0	0	0	0	0	0
CU633904.3:ENSG00000279647	0	0	0	0	0	0	0	0
AP000432.2:ENSG00000279648	0	0	0	0	0	0	0	0
AC020978.9:ENSG00000279649	1	3	2	2	0	6	0	3
AC073912.4:ENSG00000279650	0	0	0	0	0	0	0	0
AC004678.2:ENSG00000279653	0	1	2	0	1	1	3	1
AC004009.3:ENSG00000279655	0	0	0	0	0	0	0	0
AL132780.4:ENSG00000279656	1	4	6	2	3	5	7	5
AL161901.1:ENSG00000279657	0	0	0	0	0	0	0	0
AL451064.2:ENSG00000279659	6	2	5	2	2	7	6	5
AC005703.6:ENSG00000279660	2	2	0	1	0	1	1	1
AC131649.2:ENSG00000279662	1	2	1	1	0	0	3	1
AC104623.2:ENSG00000279663	0	0	0	0	0	0	0	0
AC012100.3:ENSG00000279665	1	0	0	0	0	0	0	0
AC116553.2:ENSG00000279666	0	0	0	0	0	0	0	0
AL603839.4:ENSG00000279667	0	0	0	0	0	0	0	1
AL359922.3:ENSG00000279670	0	0	0	0	0	0	0	0
AC106754.2:ENSG00000279671	0	0	0	0	0	0	0	0
AP006621.5:ENSG00000279672	10	9	4	5	8	7	5	10
AC092919.3:ENSG00000279673	5	1	2	2	1	0	4	2
AC123769.1:ENSG00000279674	0	0	0	0	0	0	0	0
AC080100.1:ENSG00000279675	0	0	0	0	0	0	0	0
AC011483.3:ENSG00000279676	0	0	0	0	0	0	0	0
AL162377.2:ENSG00000279677	0	0	0	0	0	0	0	0
AC090386.2:ENSG00000279678	0	0	0	0	0	0	0	0
AC091925.2:ENSG00000279679	0	0	0	0	0	0	0	1
AC092135.2:ENSG00000279681	0	0	0	0	0	0	0	0
AC120338.1:ENSG00000279682	0	0	0	0	0	0	0	0
AC090517.3:ENSG00000279683	0	0	0	0	0	0	0	0
AP003969.2:ENSG00000279684	0	0	1	0	0	0	0	0
AC142391.1:ENSG00000279686	0	0	0	0	1	0	0	0
AQP7P3:ENSG00000279688	0	0	0	0	0	0	0	0
AC022400.9:ENSG00000279689	9	5	0	0	2	2	4	4
AP000280.1:ENSG00000279690	0	0	0	0	0	0	0	0
AC113410.4:ENSG00000279691	0	1	0	0	0	0	1	0
AC110285.6:ENSG00000279692	10	15	8	2	10	9	20	9
AC099521.3:ENSG00000279693	0	2	4	1	0	0	5	1
AC011270.2:ENSG00000279694	0	0	0	0	0	0	0	0
AL359757.2:ENSG00000279695	0	0	0	0	0	0	0	0
AP001273.1:ENSG00000279696	27	44	47	33	49	59	97	68
AP003400.5:ENSG00000279697	0	0	0	0	0	0	0	0
AC027335.2:ENSG00000279698	0	0	0	0	0	0	0	0
AC004264.2:ENSG00000279699	3	0	3	2	3	3	2	0
AC131212.2:ENSG00000279700	6	7	22	10	14	14	22	5
AP003497.2:ENSG00000279701	0	0	0	0	0	0	0	0
AL356266.1:ENSG00000279702	0	0	0	0	0	0	0	0
AC017037.3:ENSG00000279703	0	0	0	0	0	0	0	0
AC148477.8:ENSG00000279704	0	0	0	0	0	0	0	0
AC092701.2:ENSG00000279705	0	0	0	0	0	0	0	0
AL353608.4:ENSG00000279706	0	0	0	0	0	0	0	0
AC120349.3:ENSG00000279707	0	0	0	0	0	0	0	0
AC133637.1:ENSG00000279708	0	0	0	0	0	0	0	0
CU633906.5:ENSG00000279709	0	0	0	0	0	0	0	0
AP004782.1:ENSG00000279711	0	0	1	0	0	1	0	0
AC080038.4:ENSG00000279713	0	0	0	0	0	0	0	0
AL161912.4:ENSG00000279715	0	0	0	0	0	0	0	0
AC006128.1:ENSG00000279716	1	1	0	0	2	1	0	0
AC005336.3:ENSG00000279717	1	0	0	0	0	1	0	0
SNX18P12:ENSG00000279718	55	79	76	57	88	79	97	82
AC015871.5:ENSG00000279719	0	0	0	0	0	0	0	0
SOWAHCP2:ENSG00000279720	0	1	0	0	5	1	4	1
AC018737.2:ENSG00000279721	0	0	0	0	0	0	0	0
AC007342.7:ENSG00000279722	5	3	4	0	1	4	7	2
AC005086.3:ENSG00000279724	0	0	0	0	0	0	0	0
AL391005.1:ENSG00000279725	0	0	0	0	0	0	0	0
CU638689.2:ENSG00000279728	0	0	0	0	0	0	0	0
AC092326.1:ENSG00000279729	0	0	0	0	0	0	0	0
KMT5AP1:ENSG00000279730	4	6	4	2	11	10	7	16
AC027279.3:ENSG00000279732	0	0	0	0	0	0	0	0
AP001642.1:ENSG00000279733	0	0	0	0	0	0	0	0
AC090506.2:ENSG00000279734	0	0	0	0	0	0	0	0
AC124312.4:ENSG00000279735	0	0	0	0	0	0	0	0
AC112204.3:ENSG00000279737	0	0	0	0	0	0	0	0
AC011369.2:ENSG00000279739	0	0	0	0	0	0	0	0
AC007342.8:ENSG00000279741	1	0	0	0	1	1	0	0
AP000974.1:ENSG00000279742	5	2	3	2	5	2	7	2
AC002090.1:ENSG00000279743	0	0	0	0	0	0	0	0
AC132938.6:ENSG00000279744	8	7	6	5	7	11	17	3
AC092850.1:ENSG00000279746	0	0	0	0	0	0	0	0
AC130456.6:ENSG00000279747	1	0	2	0	1	1	4	1
AC008764.9:ENSG00000279748	15	6	6	7	19	12	14	13
AC093875.1:ENSG00000279749	0	0	0	0	0	0	0	0
AC011389.3:ENSG00000279752	0	0	0	0	0	0	0	0
AC011558.1:ENSG00000279753	0	0	0	0	0	0	0	0
AL162376.1:ENSG00000279754	0	0	0	0	0	0	0	0
AC091905.3:ENSG00000279755	0	0	0	0	0	0	0	0
AC012317.2:ENSG00000279756	0	0	0	0	0	0	0	0
AC132068.1:ENSG00000279757	0	0	0	0	0	0	0	0
AC105339.5:ENSG00000279758	0	0	0	0	0	0	0	0
AC118344.4:ENSG00000279759	63	73	38	36	50	47	103	62
OR5D13:ENSG00000279761	0	0	0	0	0	0	0	0
AC009102.3:ENSG00000279764	0	0	0	0	0	0	0	0
AC013394.1:ENSG00000279765	10	20	18	20	29	12	19	11
AC067931.1:ENSG00000279766	3	14	12	10	11	8	5	2
CU639417.2:ENSG00000279769	1	0	0	0	1	1	0	0
LINC00552:ENSG00000279770	0	0	0	0	0	1	2	0
AP000997.4:ENSG00000279771	0	0	0	0	0	0	0	0
AC026422.1:ENSG00000279772	1	0	0	0	0	0	0	0
AL050303.3:ENSG00000279773	0	0	0	0	0	0	0	0
AL590483.3:ENSG00000279774	0	0	1	0	1	0	0	1
AC004585.2:ENSG00000279775	0	0	0	0	0	0	0	0
AL445437.1:ENSG00000279778	0	0	0	0	0	0	0	0
AC009039.2:ENSG00000279779	0	0	0	0	0	0	0	0
AC138907.9:ENSG00000279780	1	0	0	0	1	0	3	1
AC079336.6:ENSG00000279781	0	0	0	0	0	0	0	0
PPIAL4F:ENSG00000279782	0	0	0	0	0	0	0	0
AC018692.3:ENSG00000279783	0	0	0	0	0	0	0	0
AC008267.8:ENSG00000279785	0	0	0	0	0	0	0	0
AC105235.1:ENSG00000279786	0	1	2	1	2	3	2	1
CU638689.3:ENSG00000279788	0	0	0	0	0	0	0	0
AC120114.3:ENSG00000279789	43	87	61	41	102	107	175	104
AL590552.1:ENSG00000279790	0	0	0	0	0	0	0	0
AC018892.3:ENSG00000279791	0	0	1	0	0	1	0	0
AC015909.5:ENSG00000279792	9	13	36	17	28	18	17	12
AP000676.3:ENSG00000279793	0	0	0	0	0	0	0	0
AC024580.2:ENSG00000279794	6	7	8	2	8	9	11	5
AC138907.10:ENSG00000279795	2	1	0	1	0	1	2	3
AL133384.2:ENSG00000279796	0	0	0	0	0	0	0	0
AC018659.8:ENSG00000279798	0	0	0	0	0	0	0	0
AC006077.2:ENSG00000279799	5	1	1	2	1	4	3	5
BCLAF1P2:ENSG00000279800	58	86	97	60	96	70	130	67
AC111170.4:ENSG00000279801	0	2	8	3	4	6	3	3
AC009090.5:ENSG00000279803	7	14	2	5	9	8	16	9
PRAMEF18:ENSG00000279804	0	0	0	0	0	0	0	0
Z95114.3:ENSG00000279805	0	0	0	0	0	0	0	0
AC018629.1:ENSG00000279806	24	14	54	43	25	31	17	21
AC011472.5:ENSG00000279807	0	0	0	0	0	0	0	0
AC005538.2:ENSG00000279809	107	64	63	9	76	7	27	19
AL109924.3:ENSG00000279810	0	0	0	0	0	0	0	0
AC093330.2:ENSG00000279811	1	1	0	1	4	0	0	1
AC120057.4:ENSG00000279812	1	0	0	0	0	0	0	1
CR392000.1:ENSG00000279813	0	0	0	0	0	0	0	0
AC010997.6:ENSG00000279814	0	0	0	0	1	0	0	0
AC020763.5:ENSG00000279815	0	0	0	0	0	0	0	0
AC073911.2:ENSG00000279817	0	0	0	0	2	1	0	0
AP002991.1:ENSG00000279818	0	0	0	0	0	0	0	0
AL390318.1:ENSG00000279819	0	0	0	0	0	0	0	0
AC145098.2:ENSG00000279821	39	38	151	117	176	178	130	93
AC016397.2:ENSG00000279822	0	1	0	0	0	1	0	0
AC003957.1:ENSG00000279825	0	0	0	2	5	3	2	0
AC136469.2:ENSG00000279827	8	13	4	7	12	6	6	15
AC015959.1:ENSG00000279829	0	0	0	0	0	0	0	0
AC068870.3:ENSG00000279834	1	3	1	0	0	0	0	2
AL121785.1:ENSG00000279835	0	0	0	0	0	0	0	0
AP002967.1:ENSG00000279836	0	0	0	0	0	0	0	0
AC112694.2:ENSG00000279837	2	2	6	1	2	2	7	4
AL356273.6:ENSG00000279838	0	0	1	2	3	3	4	0
AL512383.1:ENSG00000279839	0	0	0	0	0	0	0	0
AC004801.7:ENSG00000279840	0	0	0	0	0	0	0	0
AC092135.3:ENSG00000279841	6	10	7	3	7	8	12	5
AC007603.2:ENSG00000279842	0	0	0	0	0	0	0	0
AC096656.1:ENSG00000279844	0	0	0	0	0	0	0	0
AC097372.2:ENSG00000279845	1	0	0	1	1	0	3	0
AC015660.4:ENSG00000279846	0	0	0	0	0	0	0	0
AC083964.2:ENSG00000279852	4	5	3	3	7	3	7	3
AC004453.2:ENSG00000279853	1	5	5	3	5	2	8	6
AC106733.1:ENSG00000279856	0	0	0	0	0	0	0	0
AC068880.4:ENSG00000279858	1	2	4	1	1	2	2	2
AC093323.2:ENSG00000279859	0	0	0	0	0	0	0	0
AC008568.2:ENSG00000279860	0	0	0	0	0	0	0	0
AC073548.1:ENSG00000279861	52	68	55	32	48	55	98	44
AC092964.1:ENSG00000279862	0	0	0	0	0	0	0	0
AC069547.1:ENSG00000279863	0	0	0	0	0	0	0	0
NCOR1P4:ENSG00000279864	0	0	1	0	0	0	0	0
AC006511.4:ENSG00000279865	4	2	0	3	2	4	2	3
AC022418.1:ENSG00000279869	0	0	0	0	0	0	0	0
AC006435.4:ENSG00000279872	0	1	0	0	0	0	0	0
AC064859.1:ENSG00000279874	0	0	0	0	0	0	0	0
AC074029.4:ENSG00000279875	0	0	0	0	0	0	1	0
AC079248.2:ENSG00000279876	0	0	0	0	0	0	0	0
AP003108.5:ENSG00000279878	0	0	0	0	0	0	2	1
AC091152.4:ENSG00000279879	1	1	0	2	0	0	0	0
AC134407.3:ENSG00000279880	5	3	14	8	16	6	9	6
AC041040.1:ENSG00000279881	0	0	0	0	0	0	0	0
AC112702.1:ENSG00000279882	2	0	1	3	5	2	3	0
AC010480.1:ENSG00000279883	0	0	0	0	0	0	0	0
AC010894.5:ENSG00000279884	0	0	0	0	0	0	0	0
AP005060.1:ENSG00000279885	0	0	0	0	0	0	0	0
AC087645.3:ENSG00000279886	0	0	0	0	0	0	0	0
AC046158.4:ENSG00000279887	0	0	0	0	0	0	0	0
AC012183.1:ENSG00000279889	0	0	0	0	0	0	0	0
AC022498.2:ENSG00000279891	0	1	0	0	0	0	2	1
Z73965.1:ENSG00000279894	3	3	1	1	5	4	4	1
CU633904.4:ENSG00000279895	0	0	0	0	0	0	0	0
BIRC6-AS2:ENSG00000279897	0	0	0	0	0	0	0	0
AP001767.4:ENSG00000279900	2	4	6	3	6	3	4	4
AC092117.2:ENSG00000279901	1	9	7	1	7	6	10	1
AP006248.3:ENSG00000279903	0	0	0	0	0	0	0	1
AC068057.3:ENSG00000279904	0	0	0	0	0	0	0	0
AC063926.3:ENSG00000279905	0	0	0	0	0	0	0	0
AC018695.7:ENSG00000279907	0	0	0	0	0	0	0	0
AC026748.1:ENSG00000279908	0	0	0	1	0	0	1	0
AL731532.1:ENSG00000279910	0	0	0	0	0	0	0	0
AC068448.2:ENSG00000279912	0	1	0	1	0	1	0	1
AP001962.1:ENSG00000279913	0	0	0	0	0	0	0	0
AC079331.2:ENSG00000279917	0	0	0	0	0	0	1	0
AC006840.1:ENSG00000279918	0	0	0	0	0	0	0	0
AC068880.5:ENSG00000279919	0	0	0	0	0	0	0	0
AC022417.1:ENSG00000279923	1	3	0	0	3	1	3	2
AL356585.4:ENSG00000279924	1	0	0	0	0	0	0	0
AC144522.1:ENSG00000279925	0	0	0	0	0	0	0	0
AL138831.3:ENSG00000279926	0	0	0	0	0	0	0	0
FO538757.1:ENSG00000279928	0	3	0	0	0	0	2	0
AL354796.1:ENSG00000279929	0	0	0	0	0	0	0	0
AL032819.2:ENSG00000279930	0	0	0	0	0	0	0	0
AC073593.1:ENSG00000279931	0	0	0	0	0	0	0	0
AL031595.1:ENSG00000279933	0	0	0	0	0	0	0	0
AL353611.2:ENSG00000279935	0	0	0	0	0	0	0	0
AC008806.1:ENSG00000279936	0	0	2	0	0	0	0	0
AC025034.2:ENSG00000279939	0	0	0	0	0	0	0	0
AC073862.3:ENSG00000279940	0	0	0	0	0	0	0	0
AL353597.3:ENSG00000279942	0	1	0	0	0	0	0	0
AC110771.1:ENSG00000279943	0	0	0	0	0	0	0	0
AC013489.3:ENSG00000279945	0	0	0	0	0	0	1	0
AC244034.3:ENSG00000279946	0	0	0	0	0	0	0	0
AC008895.1:ENSG00000279948	13	8	7	12	8	9	14	5
AL138688.2:ENSG00000279951	1	0	0	0	0	0	1	0
AC068787.1:ENSG00000279952	0	0	0	0	0	0	0	0
AC117503.3:ENSG00000279953	7	3	2	4	4	5	7	0
AC129778.1:ENSG00000279955	0	0	0	0	0	0	0	0
AC073082.1:ENSG00000279956	0	0	0	0	0	0	0	0
AC110769.3:ENSG00000279957	0	0	0	0	0	0	0	0
AC019278.1:ENSG00000279958	0	0	0	0	0	0	0	0
AC024580.3:ENSG00000279959	0	0	0	0	0	0	0	0
